epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,3493.41,0.90783,0.39533,0.00506,0.98598,0.97661,0.98896,0.81248,0.76088,0.26077,0.00582,0.00032096,0.00032096,0.00032096
108,3522.95,0.92241,0.38887,0.00487,0.99586,0.96605,0.99236,0.80932,0.75822,0.24703,0.00565,0.00030512,0.00030512,0.00030512
109,3551.91,0.89819,0.3847,0.00489,0.99366,0.96797,0.99054,0.80316,0.76512,0.25727,0.0058,0.00028928,0.00028928,0.00028928
110,3580.25,0.85987,0.36237,0.00466,0.98682,0.97068,0.99051,0.81042,0.74648,0.25274,0.00552,0.00027344,0.00027344,0.00027344
111,3609.11,0.88092,0.3725,0.0048,0.99181,0.97531,0.98963,0.81631,0.75308,0.25494,0.00543,0.0002576,0.0002576,0.0002576
112,3638.67,0.88448,0.38111,0.0045,0.98865,0.97994,0.99121,0.82686,0.73878,0.24346,0.00562,0.00024176,0.00024176,0.00024176
113,3667.77,0.91459,0.39598,0.0049,0.99373,0.9783,0.99105,0.8228,0.73063,0.24567,0.0054,0.00022592,0.00022592,0.00022592
114,3696.6,0.87102,0.36151,0.00451,0.99842,0.97278,0.99018,0.82609,0.74166,0.24961,0.00563,0.00021008,0.00021008,0.00021008
115,3725.16,0.85041,0.37422,0.00447,0.99218,0.97896,0.99149,0.82203,0.74458,0.24199,0.00575,0.00019424,0.00019424,0.00019424
116,3752.46,0.75053,0.26269,0.00451,0.99206,0.96464,0.98734,0.80188,0.78227,0.2648,0.00589,0.0001784,0.0001784,0.0001784
117,3779.99,0.74994,0.2542,0.00479,0.98917,0.9784,0.98894,0.81336,0.74811,0.25195,0.0056,0.00016256,0.00016256,0.00016256
118,3807.19,0.75867,0.24746,0.00464,0.99212,0.97196,0.98941,0.82081,0.73142,0.24528,0.00541,0.00014672,0.00014672,0.00014672
119,3834.55,0.73246,0.25337,0.00475,0.99034,0.97685,0.98944,0.82292,0.72944,0.24773,0.00554,0.00013088,0.00013088,0.00013088
120,3861.99,0.76703,0.2653,0.00496,0.99683,0.96938,0.98859,0.82056,0.74187,0.25653,0.00557,0.00011504,0.00011504,0.00011504
121,3889.26,0.72245,0.24434,0.00427,0.99575,0.96914,0.98885,0.82399,0.71169,0.24389,0.00518,9.92e-05,9.92e-05,9.92e-05
122,3916.42,0.73689,0.24953,0.00438,0.99209,0.96786,0.98858,0.82506,0.72028,0.24982,0.00524,8.336e-05,8.336e-05,8.336e-05
123,3943.94,0.73249,0.25031,0.00446,0.99051,0.96598,0.98855,0.82328,0.71756,0.25549,0.00515,6.752e-05,6.752e-05,6.752e-05
124,3971.28,0.71839,0.24718,0.00469,0.99212,0.97181,0.98861,0.82052,0.71351,0.24895,0.00515,5.168e-05,5.168e-05,5.168e-05
125,3998.45,0.71749,0.25492,0.00434,0.99196,0.97377,0.98887,0.82539,0.7202,0.2506,0.0053,3.584e-05,3.584e-05,3.584e-05
